11 // 17 
0B // 11 
08 // 8 
11 // 17 

11 // 17 
0D // 13 
09 // 9 
0D // 13 

07 // 7 
03 // 3 

03 // 3 
09 // 9 

0B // 11 
05 // 5 
0F // 15 

07 // 7 
09 // 9 
0C // 12 
0D // 13 
0B // 11 
09 // 9 

11 // 17 
0F // 15 
0A // 10 
08 // 8 
01 // 1 
0D // 13 

0A // 10 
0B // 11 
0D // 13 
09 // 9 
0D // 13 
0D // 13 
0D // 13 

0A // 10 
0A // 10 
0D // 13 
08 // 8 
0E // 14 
0E // 14 
0C // 12 
0B // 11 

0A // 10 
0D // 13 
03 // 3 
0B // 11 

0A // 10 

0A // 10 
0B // 11 
0B // 11 
0A // 10 
03 // 3 
0A // 10 

0F // 15 
09 // 9 
09 // 9 
0A // 10 
0C // 12 
0B // 11 
0B // 11 

0A // 10 
05 // 5 

07 // 7 
08 // 8 

0A // 10 
0E // 14 
09 // 9 

0B // 11 
09 // 9 
0D // 13 
0C // 12 

0D // 13 
0B // 11 
0C // 12 
0B // 11 
08 // 8 
08 // 8 
0A // 10 

0F // 15 

03 // 3 
0A // 10 

0F // 15 
08 // 8 
09 // 9 
06 // 6 
07 // 7 
03 // 3 

0C // 12 
07 // 7 
03 // 3 
0D // 13 
0B // 11 

0D // 13 
06 // 6 
0B // 11 
0C // 12 

09 // 9 

08 // 8 
0B // 11 
0B // 11 

0D // 13 
01 // 1 
07 // 7 
0F // 15 

0B // 11 
0E // 14 
07 // 7 
0B // 11 
11 // 17 
0B // 11 
08 // 8 

07 // 7 

07 // 7 
0E // 14 
08 // 8 
08 // 8 

0B // 11 
09 // 9 
0E // 14 
08 // 8 
11 // 17 

0D // 13 
0B // 11 

08 // 8 
11 // 17 
0B // 11 
07 // 7 
0B // 11 
0E // 14 
09 // 9 

06 // 6 
09 // 9 
04 // 4 
03 // 3 
09 // 9 

09 // 9 

09 // 9 
08 // 8 
01 // 1 
07 // 7 
0A // 10 
0A // 10 

01 // 1 
0C // 12 
11 // 17 
0F // 15 
0E // 14 
0A // 10 

0C // 12 
04 // 4 
0A // 10 
11 // 17 
0F // 15 
0B // 11 
0A // 10 

0A // 10 
03 // 3 
0B // 11 
0B // 11 

0F // 15 
0B // 11 
0A // 10 
0B // 11 

0A // 10 
05 // 5 

09 // 9 
0D // 13 
07 // 7 
0B // 11 
0C // 12 
0D // 13 
0D // 13 
06 // 6 

0B // 11 

11 // 17 
0E // 14 
03 // 3 
0D // 13 
0D // 13 
0D // 13 

08 // 8 
0A // 10 
04 // 4 
0B // 11 
0E // 14 
0A // 10 
04 // 4 

07 // 7 
0B // 11 
0E // 14 
0B // 11 

05 // 5 
0A // 10 
0A // 10 
0A // 10 
0A // 10 
11 // 17 
0A // 10 
0D // 13 

0A // 10 
0A // 10 
0B // 11 
0D // 13 
0A // 10 
0A // 10 
11 // 17 

08 // 8 

0D // 13 
08 // 8 

0A // 10 
0D // 13 
0A // 10 
0C // 12 
0A // 10 
0B // 11 

0A // 10 
0E // 14 

07 // 7 
0B // 11 
0C // 12 

07 // 7 
0B // 11 
08 // 8 
09 // 9 
0D // 13 

0D // 13 
07 // 7 
06 // 6 
0C // 12 
0B // 11 

0A // 10 
0B // 11 
0F // 15 
08 // 8 
09 // 9 
07 // 7 

0F // 15 

07 // 7 

11 // 17 
0F // 15 

0C // 12 
08 // 8 
09 // 9 
0C // 12 
04 // 4 

01 // 1 
06 // 6 
0B // 11 
0E // 14 
0A // 10 
0B // 11 
09 // 9 
03 // 3 

0B // 11 
0E // 14 
0B // 11 
05 // 5 
0E // 14 
0D // 13 
0A // 10 

0A // 10 
0D // 13 

0B // 11 
0F // 15 
0C // 12 
0B // 11 
0D // 13 
08 // 8 

08 // 8 
04 // 4 

0C // 12 

07 // 7 
05 // 5 

0F // 15 
08 // 8 
0F // 15 
08 // 8 

0E // 14 
07 // 7 
04 // 4 
0C // 12 

0D // 13 
0D // 13 
0D // 13 
09 // 9 
0D // 13 
0F // 15 
0A // 10 
04 // 4 

0E // 14 
08 // 8 

09 // 9 
0D // 13 
11 // 17 
07 // 7 

08 // 8 
0F // 15 
04 // 4 
0A // 10 
06 // 6 
0A // 10 
0D // 13 
01 // 1 

0A // 10 
0E // 14 
0A // 10 
0E // 14 
09 // 9 
08 // 8 
0D // 13 
0B // 11 

0C // 12 
0B // 11 
0B // 11 
04 // 4 
0B // 11 
09 // 9 

09 // 9 

11 // 17 
0C // 12 
08 // 8 

08 // 8 
03 // 3 

0B // 11 
0B // 11 
0E // 14 
0C // 12 
09 // 9 
01 // 1 
0F // 15 
09 // 9 

04 // 4 
08 // 8 
0A // 10 
0B // 11 
09 // 9 
08 // 8 

0B // 11 
0B // 11 
0B // 11 
0A // 10 
06 // 6 
0E // 14 
0E // 14 

07 // 7 

03 // 3 
07 // 7 

08 // 8 
09 // 9 
0A // 10 
04 // 4 
08 // 8 
0B // 11 
0E // 14 

0A // 10 
09 // 9 
07 // 7 
0A // 10 
07 // 7 
09 // 9 
0D // 13 

09 // 9 
0C // 12 
0A // 10 
0D // 13 
07 // 7 
08 // 8 
0E // 14 

03 // 3 
09 // 9 
07 // 7 
0E // 14 
0C // 12 
0F // 15 
0D // 13 

01 // 1 
07 // 7 
09 // 9 
04 // 4 
0B // 11 

07 // 7 
01 // 1 
0B // 11 
08 // 8 
08 // 8 
08 // 8 

07 // 7 
0A // 10 
0E // 14 
0C // 12 
08 // 8 
0D // 13 

08 // 8 
08 // 8 
01 // 1 

0B // 11 

0D // 13 
0D // 13 
0C // 12 

0D // 13 
08 // 8 
0B // 11 
0B // 11 
05 // 5 

09 // 9 
0B // 11 

0F // 15 
0F // 15 
0A // 10 
08 // 8 
0A // 10 

0B // 11 
0A // 10 
0A // 10 
0B // 11 
0C // 12 
0F // 15 
08 // 8 

0A // 10 
01 // 1 
0B // 11 
09 // 9 

0E // 14 
05 // 5 
0A // 10 
11 // 17 
0B // 11 
03 // 3 

0D // 13 
07 // 7 
07 // 7 
0C // 12 
08 // 8 
0B // 11 
0B // 11 

07 // 7 
0D // 13 
0A // 10 
11 // 17 
09 // 9 

0F // 15 

0E // 14 
03 // 3 
11 // 17 

0C // 12 
0D // 13 
11 // 17 
07 // 7 
09 // 9 
0B // 11 
09 // 9 

03 // 3 
08 // 8 
0B // 11 
08 // 8 

0E // 14 
05 // 5 

0D // 13 
0A // 10 
08 // 8 
0C // 12 

07 // 7 
07 // 7 
0A // 10 
06 // 6 
07 // 7 
08 // 8 
08 // 8 

0B // 11 
0E // 14 

03 // 3 
0B // 11 
0B // 11 
03 // 3 

09 // 9 
09 // 9 
03 // 3 
03 // 3 

07 // 7 
08 // 8 

08 // 8 
04 // 4 
07 // 7 
03 // 3 
09 // 9 
0D // 13 
0E // 14 
08 // 8 

0E // 14 
0F // 15 
09 // 9 
0B // 11 
03 // 3 
04 // 4 
0B // 11 

04 // 4 
0B // 11 

03 // 3 
03 // 3 
0E // 14 
0A // 10 

09 // 9 
0A // 10 
0E // 14 

07 // 7 
09 // 9 
0D // 13 
07 // 7 
08 // 8 
0B // 11 
0A // 10 
07 // 7 

0E // 14 
04 // 4 
08 // 8 
07 // 7 

09 // 9 
0A // 10 
0D // 13 
07 // 7 

0B // 11 
0A // 10 
0A // 10 
0E // 14 

09 // 9 
0A // 10 

0D // 13 
03 // 3 
09 // 9 
07 // 7 
06 // 6 
07 // 7 
0F // 15 
0A // 10 

0D // 13 
0C // 12 
0D // 13 
08 // 8 
03 // 3 
11 // 17 

0D // 13 
0A // 10 
0B // 11 
05 // 5 

04 // 4 
0E // 14 
08 // 8 
09 // 9 
0B // 11 

0C // 12 
0B // 11 
0D // 13 
08 // 8 
09 // 9 

0B // 11 
06 // 6 
0A // 10 
09 // 9 
07 // 7 
07 // 7 

09 // 9 

0D // 13 
09 // 9 

01 // 1 
0F // 15 
0A // 10 
0B // 11 
0C // 12 
0A // 10 
08 // 8 

08 // 8 
09 // 9 
0C // 12 

09 // 9 
08 // 8 
08 // 8 
0A // 10 
0A // 10 
0F // 15 
03 // 3 
0D // 13 

03 // 3 
07 // 7 

0A // 10 
04 // 4 
0A // 10 
0F // 15 
08 // 8 
11 // 17 
06 // 6 
0F // 15 

0E // 14 
01 // 1 
08 // 8 

0A // 10 
0B // 11 
09 // 9 
0B // 11 
0A // 10 
0B // 11 
0B // 11 
08 // 8 

05 // 5 
0A // 10 
0F // 15 
0C // 12 
0B // 11 
06 // 6 
03 // 3 

0E // 14 
07 // 7 
0E // 14 
07 // 7 
0B // 11 
09 // 9 
08 // 8 
08 // 8 

01 // 1 
0A // 10 
03 // 3 
07 // 7 
09 // 9 
0B // 11 

0D // 13 
06 // 6 
09 // 9 
06 // 6 
0A // 10 
0A // 10 

01 // 1 
0C // 12 
0D // 13 
08 // 8 
0C // 12 
07 // 7 
0A // 10 

01 // 1 
0A // 10 
0D // 13 

07 // 7 

0A // 10 
08 // 8 
03 // 3 

07 // 7 
03 // 3 
0A // 10 

0B // 11 
08 // 8 
03 // 3 
08 // 8 
0B // 11 

0F // 15 
08 // 8 
09 // 9 

07 // 7 
0E // 14 
0D // 13 
07 // 7 
0A // 10 
0A // 10 

0B // 11 
0F // 15 

01 // 1 

0E // 14 
0A // 10 
0B // 11 

0D // 13 
08 // 8 
0A // 10 
0F // 15 
0A // 10 

0B // 11 
01 // 1 
0A // 10 
0B // 11 
0B // 11 
0B // 11 

04 // 4 
0E // 14 
08 // 8 
0C // 12 
0A // 10 
08 // 8 
0D // 13 

09 // 9 
07 // 7 

0F // 15 
11 // 17 
0D // 13 

01 // 1 
0A // 10 

0B // 11 
0A // 10 
0A // 10 
08 // 8 
05 // 5 
0B // 11 

09 // 9 
09 // 9 
0D // 13 

09 // 9 
09 // 9 
07 // 7 
0E // 14 
04 // 4 
0D // 13 
0B // 11 
0F // 15 

